num,                                                                                                                                             text,      screenName,retweetCount,retweeted,longitude,latitude
1,                                                                                                 @ayyytylerb that is so true drink lots of coffee,  thejennagibson,0,FALSE,       NA,      NA
2,"     RT @bryzy_brib: Senior March tmw morning at 7:25 A.M. in the SENIOR lot. Get up early, make yo coffee/breakfast, cus this will only happen ?",   carolynicosia,1,FALSE,       NA,      NA
3,      If you believe in #gunsense tomorrow would be a very good day to have your coffee any place BUT @Starbucks Guns+Coffee=#nosense @MomsDemand,        janeCkay,0,FALSE,       NA,      NA
4,                                                                                                       My cute coffee mug. http://t.co/2udvMU6XIG,  AlexandriaOOTD,0,FALSE,       NA,      NA
5,                                                    RT @slaredo21: I wish we had Starbucks here... Cause coffee dates in the morning sound perff!,     Rooosssaaaa,2,FALSE,       NA,      NA
6,                                                                                         Does anyone ever get a cup of coffee before a cocktail??,         E_Z_MAC,0,FALSE,       NA,      NA
7,"                                                 I like my coffee like I like my women...black, bitter, and preferably fair trade. I love #Archer",   Charlie_31191,0,FALSE,       NA,      NA
8,                                                                                                      @dreamwwediva ya didn't have coffee did ya?, JessicaSalvato5,0,FALSE,       NA,      NA
9,                                                                                                       RT @iDougherty42: I just want some coffee.,      kaytiekirk,1,FALSE,       NA,      NA
10,                                                                                                         RT @Dorkv76: I can't care before coffee.,       lissteria,2,FALSE,       NA,      NA
11,                                                                                          No lie I wouldn't mind coming home smelling like coffee,       DOPECROOK,0,FALSE,       NA,      NA
12,     RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?,      TiffCaruso,6,FALSE,       NA,      NA
13,                                                                          Have I ever told any of you that Tate Donovan bought my stepmom coffee?, CurlysCrazyMofo,0,FALSE,       NA,      NA
14,     RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?,      JoeJonasVA,6,FALSE,       NA,      NA
15,                                  @HeatherWhaley I was about 2 joke it takes 2 hands to hold hot coffee...then I read headline! #Don'tDrinkNShoot,      AnnaDuleep,0,FALSE,       NA,      NA
16,         RT @MoveTheSticks: Charlie Whitehurst looks like he should be working at a coffee shop in Portland or hosting a renovation show on HGTV.,         mpr4437,42,FALSE,       NA,      NA
17,                                                                                                           Coffee always makes everything better.,     sharkshukri,0,FALSE,       NA,      NA
18,     RT @AdelaideReview: Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie Recipe. http://t.co/N8O7vqFKWN http?,    thepaulbaker,1,FALSE,       NA,      NA
19,                                     RT @LittleMelss: lmfao!!!@bryanlaca: nahhh Melanie u is fa sho like an ummm a Coffee table ,) ) yeeeee lmaoo,       bryanlaca,1,FALSE,       NA
20,         I wonder if Christian Colon will get a cup of coffee once the rosters expand to 40 man in September. Really nothing to lose by doing so.,       Shauncore,0,FALSE,       NA,      NA
21,                                                                                                 Shouldn't have drank coffee I'm jittery as fuck.,       DylanBaur,0,FALSE,       NA,      NA
